# Seed: 413563856
# Pattern: 3x3
# Search radius: 1000000
# chunkX,chunkZ,blockX,blockZ,distance
440884,116484,7054144,1863744,440884
241595,-440935,3865520,-7054960,440935
-196644,-441129,-3146304,-7058064,441129
272840,-441214,4365440,-7059424,441214
441544,-309766,7064704,-4956256,441544
-441743,96147,-7067888,1538352,441743
441962,300553,7071392,4808848,441962
-442750,258984,-7084000,4143744,442750
-164908,-442767,-2638528,-7084272,442767
-442793,-77047,-7084688,-1232752,442793
443309,-376103,7092944,-6017648,443309
443407,289123,7094512,4625968,443407
170951,443844,2735216,7101504,443844
-444110,353459,-7105760,5655344,444110
-399238,-444115,-6387808,-7105840,444115
-356845,-444455,-5709520,-7111280,444455
-119783,-444497,-1916528,-7111952,444497
17248,-444518,275968,-7112288,444518
232826,-444616,3725216,-7113856,444616
-122242,-444728,-1955872,-7115648,444728
-140494,444802,-2247904,7116832,444802
444942,-210940,7119072,-3375040,444942
-436205,-445085,-6979280,-7121360,445085
252121,445094,4033936,7121504,445094
445884,-130434,7134144,-2086944,445884
-318980,445965,-5103680,7135440,445965
446153,286415,7138448,4582640,446153
-278338,446259,-4453408,7140144,446259
393298,446528,6292768,7144448,446528
-408467,446636,-6535472,7146176,446636
446807,-367698,7148912,-5883168,446807
-446984,108179,-7151744,1730864,446984
447004,243582,7152064,3897312,447004
-163875,-447428,-2622000,-7158848,447428
48323,447431,773168,7158896,447431
-290088,447509,-4641408,7160144,447509
447557,141764,7160912,2268224,447557
-398747,-447712,-6379952,-7163392,447712
447803,302733,7164848,4843728,447803
-448071,-64016,-7169136,-1024256,448071
377397,-448078,6038352,-7169248,448078
212732,-448260,3403712,-7172160,448260
-448806,202023,-7180896,3232368,448806
-121032,448969,-1936512,7183504,448969
250176,448970,4002816,7183520,448970
-449008,89737,-7184128,1435792,449008
65951,449199,1055216,7187184,449199
39171,-449228,626736,-7187648,449228
449328,92947,7189248,1487152,449328
383311,449348,6132976,7189568,449348
20599,-449374,329584,-7189984,449374
10367,-449727,165872,-7195632,449727
-195272,-449837,-3124352,-7197392,449837
7852,450079,125632,7201264,450079
450168,264886,7202688,4238176,450168
369789,450320,5916624,7205120,450320
-293391,-450414,-4694256,-7206624,450414
-450414,70163,-7206624,1122608,450414
131791,-450686,2108656,-7210976,450686
450714,62078,7211424,993248,450714
137000,-450787,2192000,-7212592,450787
166433,450792,2662928,7212672,450792
17796,450800,284736,7212800,450800
320477,-451287,5127632,-7220592,451287
32841,451298,525456,7220768,451298
247214,-451858,3955424,-7229728,451858
247843,451873,3965488,7229968,451873
-432595,-451878,-6921520,-7230048,451878
18353,-452322,293648,-7237152,452322
452403,215790,7238448,3452640,452403
452696,128020,7243136,2048320,452696
344436,-452707,5510976,-7243312,452707
262586,452846,4201376,7245536,452846
231944,-452964,3711104,-7247424,452964
453293,315489,7252688,5047824,453293
-453718,-238862,-7259488,-3821792,453718
319892,-453803,5118272,-7260848,453803
-441845,-454103,-7069520,-7265648,454103
-310340,454284,-4965440,7268544,454284
-126596,-454404,-2025536,-7270464,454404
-287090,-454485,-4593440,-7271760,454485
-454601,-222866,-7273616,-3565856,454601
215195,454762,3443120,7276192,454762
-454828,-107977,-7277248,-1727632,454828
-454894,-117354,-7278304,-1877664,454894
454943,251702,7279088,4027232,454943
-291882,455257,-4670112,7284112,455257
184443,455381,2951088,7286096,455381
370017,455731,5920272,7291696,455731
455831,85097,7293296,1361552,455831
158089,455842,2529424,7293472,455842
455968,124627,7295488,1994032,455968
456058,-97296,7296928,-1556736,456058
-222162,-456137,-3554592,-7298192,456137
-456854,-216169,-7309664,-3458704,456854
-320416,456914,-5126656,7310624,456914
457011,17315,7312176,277040,457011
-455514,457302,-7288224,7316832,457302
457305,157569,7316880,2521104,457305
457700,-421087,7323200,-6737392,457700
-458394,-268970,-7334304,-4303520,458394
-458986,-172006,-7343776,-2752096,458986
418589,-459154,6697424,-7346464,459154
253734,-459420,4059744,-7350720,459420
459500,25285,7352000,404560,459500
96576,-459502,1545216,-7352032,459502
399378,459539,6390048,7352624,459539
-398229,459722,-6371664,7355552,459722
-459961,48179,-7359376,770864,459961
-460033,272466,-7360528,4359456,460033
460167,185509,7362672,2968144,460167
460225,378003,7363600,6048048,460225
-460397,310816,-7366352,4973056,460397
-393721,460795,-6299536,7372720,460795
-460840,349776,-7373440,5596416,460840
-175216,-460894,-2803456,-7374304,460894
-461017,448777,-7376272,7180432,461017
-462070,245456,-7393120,3927296,462070
-233024,462230,-3728384,7395680,462230
-64704,462268,-1035264,7396288,462268
462353,76882,7397648,1230112,462353
462353,204116,7397648,3265856,462353
159064,462635,2545024,7402160,462635
-230598,462650,-3689568,7402400,462650
65569,-462736,1049104,-7403776,462736
358230,-462877,5731680,-7406032,462877
-262193,463001,-4195088,7408016,463001
-463300,-458733,-7412800,-7339728,463300
-356345,-463398,-5701520,-7414368,463398
-463516,-347474,-7416256,-5559584,463516
-361877,463687,-5790032,7418992,463687
463726,212883,7419616,3406128,463726
-309372,463769,-4949952,7420304,463769
-218891,463886,-3502256,7422176,463886
-376340,463887,-6021440,7422192,463887
463986,444994,7423776,7119904,463986
-82487,-464070,-1319792,-7425120,464070
-58602,-464079,-937632,-7425264,464079
464087,141007,7425392,2256112,464087
85350,464679,1365600,7434864,464679
-378599,-464766,-6057584,-7436256,464766
-464774,-445001,-7436384,-7120016,464774
-464799,-456972,-7436784,-7311552,464799
-465167,-230656,-7442672,-3690496,465167
73742,-465263,1179872,-7444208,465263
3391,465322,54256,7445152,465322
301340,465744,4821440,7451904,465744
-236883,465910,-3790128,7454560,465910
466259,180047,7460144,2880752,466259
-466317,396563,-7461072,6345008,466317
318484,-466355,5095744,-7461680,466355
466391,149620,7462256,2393920,466391
276206,-466514,4419296,-7464224,466514
-466604,-413611,-7465664,-6617776,466604
466761,-276156,7468176,-4418496,466761
-154471,467655,-2471536,7482480,467655
250725,-467953,4011600,-7487248,467953
468143,-262476,7490288,-4199616,468143
-468179,-69922,-7490864,-1118752,468179
468727,-223922,7499632,-3582752,468727
-33071,-468794,-529136,-7500704,468794
-185128,-468837,-2962048,-7501392,468837
174927,469020,2798832,7504320,469020
-189167,-469183,-3026672,-7506928,469183
321261,-469207,5140176,-7507312,469207
-469533,-421531,-7512528,-6744496,469533
248652,469591,3978432,7513456,469591
469673,-112905,7514768,-1806480,469673
-151360,470195,-2421760,7523120,470195
-470531,-441698,-7528496,-7067168,470531
-280466,470762,-4487456,7532192,470762
408198,470962,6531168,7535392,470962
252421,471248,4038736,7539968,471248
421776,-471339,6748416,-7541424,471339
-471515,62822,-7544240,1005152,471515
-118164,-471633,-1890624,-7546128,471633
471633,321294,7546128,5140704,471633
-352191,-471728,-5635056,-7547648,471728
-299284,471830,-4788544,7549280,471830
224022,471921,3584352,7550736,471921
472059,-110481,7552944,-1767696,472059
472557,175100,7560912,2801600,472557
-40148,-472601,-642368,-7561616,472601
-211459,-472712,-3383344,-7563392,472712
-472797,73120,-7564752,1169920,472797
-69546,472958,-1112736,7567328,472958
472959,169978,7567344,2719648,472959
-204791,473272,-3276656,7572352,473272
473542,-409556,7576672,-6552896,473542
220031,-473580,3520496,-7577280,473580
473698,-423392,7579168,-6774272,473698
-473804,-41043,-7580864,-656688,473804
-430937,473876,-6894992,7582016,473876
-438897,473956,-7022352,7583296,473956
473969,165374,7583504,2645984,473969
226143,474147,3618288,7586352,474147
-227402,474196,-3638432,7587136,474196
395210,-474243,6323360,-7587888,474243
474265,165105,7588240,2641680,474265
202032,474561,3232512,7592976,474561
-121512,-474580,-1944192,-7593280,474580
-474801,-15253,-7596816,-244048,474801
-8568,475077,-137088,7601232,475077
-475080,308978,-7601280,4943648,475080
-475177,-314234,-7602832,-5027744,475177
475363,-323923,7605808,-5182768,475363
-475477,-85876,-7607632,-1374016,475477
-475873,333189,-7613968,5331024,475873
475923,-11774,7614768,-188384,475923
-476089,302,-7617424,4832,476089
-476124,-88728,-7617984,-1419648,476124
476696,-393414,7627136,-6294624,476696
-151332,476770,-2421312,7628320,476770
-476979,-288723,-7631664,-4619568,476979
477298,-162219,7636768,-2595504,477298
-197762,-477551,-3164192,-7640816,477551
-35243,-477552,-563888,-7640832,477552
477767,250386,7644272,4006176,477767
-225698,477798,-3611168,7644768,477798
-180693,477949,-2891088,7647184,477949
-91158,-478039,-1458528,-7648624,478039
-478223,-391914,-7651568,-6270624,478223
478252,-325559,7652032,-5208944,478252
-381471,478324,-6103536,7653184,478324
336120,478496,5377920,7655936,478496
336120,478497,5377920,7655952,478497
-343602,478610,-5497632,7657760,478610
-395224,-478644,-6323584,-7658304,478644
478858,368341,7661728,5893456,478858
29428,479033,470848,7664528,479033
-138095,479355,-2209520,7669680,479355
428061,-479375,6848976,-7670000,479375
479485,138785,7671760,2220560,479485
35336,-479599,565376,-7673584,479599
-479742,226634,-7675872,3626144,479742
-183457,-480083,-2935312,-7681328,480083
-480121,-248645,-7681936,-3978320,480121
480206,456675,7683296,7306800,480206
-480219,-124334,-7683504,-1989344,480219
480444,397917,7687104,6366672,480444
280886,-480639,4494176,-7690224,480639
480680,250327,7690880,4005232,480680
480698,-111594,7691168,-1785504,480698
348226,-480944,5571616,-7695104,480944
-481530,317501,-7704480,5080016,481530
481583,-281217,7705328,-4499472,481583
-481618,-45671,-7705888,-730736,481618
-134916,481681,-2158656,7706896,481681
481816,98421,7709056,1574736,481816
45348,-481923,725568,-7710768,481923
-219394,-481941,-3510304,-7711056,481941
-482016,308592,-7712256,4937472,482016
-340086,-482102,-5441376,-7713632,482102
-238823,482182,-3821168,7714912,482182
-482184,151666,-7714944,2426656,482184
149389,482499,2390224,7719984,482499
-482703,120652,-7723248,1930432,482703
152609,-482728,2441744,-7723648,482728
-391819,-482966,-6269104,-7727456,482966
483024,28154,7728384,450464,483024
-292508,-483160,-4680128,-7730560,483160
-153000,483663,-2448000,7738608,483663
140820,-483663,2253120,-7738608,483663
140821,-483663,2253136,-7738608,483663
370639,484026,5930224,7744416,484026
290773,-484041,4652368,-7744656,484041
-123008,484247,-1968128,7747952,484247
-59,484526,-944,7752416,484526
-367827,-484800,-5885232,-7756800,484800
-203840,-484818,-3261440,-7757088,484818
-459229,-484834,-7347664,-7757344,484834
485052,-241457,7760832,-3863312,485052
485453,-224081,7767248,-3585296,485453
485479,132750,7767664,2124000,485479
-366024,-485484,-5856384,-7767744,485484
-485621,-179155,-7769936,-2866480,485621
-485680,348307,-7770880,5572912,485680
29252,486262,468032,7780192,486262
-486326,2645,-7781216,42320,486326
486391,-17095,7782256,-273520,486391
23428,486511,374848,7784176,486511
-486595,44269,-7785520,708304,486595
486798,-5331,7788768,-85296,486798
-118465,-486836,-1895440,-7789376,486836
-210130,487114,-3362080,7793824,487114
-487220,332327,-7795520,5317232,487220
-210158,487351,-3362528,7797616,487351
487426,-390961,7798816,-6255376,487426
487468,407985,7799488,6527760,487468
486759,-487813,7788144,-7805008,487813
487820,-128795,7805120,-2060720,487820
-179521,-487847,-2872336,-7805552,487847
459358,488025,7349728,7808400,488025
488366,329338,7813856,5269408,488366
-489120,164814,-7825920,2637024,489120
10298,-489602,164768,-7833632,489602
-489609,483729,-7833744,7739664,489609
489890,-171823,7838240,-2749168,489890
489890,-171822,7838240,-2749152,489890
-392432,-490043,-6278912,-7840688,490043
-490310,-420967,-7844960,-6735472,490310
-229845,490389,-3677520,7846224,490389
-490456,466228,-7847296,7459648,490456
490747,191568,7851952,3065088,490747
491049,292651,7856784,4682416,491049
187996,491118,3007936,7857888,491118
-491213,242584,-7859408,3881344,491213
491389,-357378,7862224,-5718048,491389
300722,-491487,4811552,-7863792,491487
-491574,277490,-7865184,4439840,491574
279014,-491607,4464224,-7865712,491607
-259428,-491829,-4150848,-7869264,491829
-491941,86340,-7871056,1381440,491941
-231289,492458,-3700624,7879328,492458
246140,-492465,3938240,-7879440,492465
148191,-492552,2371056,-7880832,492552
-492553,461092,-7880848,7377472,492553
-492589,-389773,-7881424,-6236368,492589
-492811,151077,-7884976,2417232,492811
-492894,-280878,-7886304,-4494048,492894
-492920,23203,-7886720,371248,492920
56910,492939,910560,7887024,492939
141865,-493056,2269840,-7888896,493056
-73229,-493102,-1171664,-7889632,493102
-40998,-493142,-655968,-7890272,493142
-335404,-493427,-5366464,-7894832,493427
391092,-493630,6257472,-7898080,493630
-160454,-493827,-2567264,-7901232,493827
-493837,150888,-7901392,2414208,493837
-493863,-8361,-7901808,-133776,493863
-378283,493890,-6052528,7902240,493890
-428193,-493910,-6851088,-7902560,493910
-266457,493929,-4263312,7902864,493929
494089,315306,7905424,5044896,494089
494114,493911,7905824,7902576,494114
365537,494594,5848592,7913504,494594
103226,494606,1651616,7913696,494606
-494743,-208038,-7915888,-3328608,494743
-358179,-494900,-5730864,-7918400,494900
-495429,193372,-7926864,3093952,495429
-494318,495444,-7909088,7927104,495444
495818,207841,7933088,3325456,495818
-366289,-495957,-5860624,-7935312,495957
495990,-78994,7935840,-1263904,495990
-255376,-496133,-4086016,-7938128,496133
-496229,-45924,-7939664,-734784,496229
-496413,183138,-7942608,2930208,496413
-497202,-356266,-7955232,-5700256,497202
-497399,-427335,-7958384,-6837360,497399
-497692,431040,-7963072,6896640,497692
497782,-385137,7964512,-6162192,497782
-199919,497788,-3198704,7964608,497788
166140,-497985,2658240,-7967760,497985
498052,22109,7968832,353744,498052
-498178,-210081,-7970848,-3361296,498178
-498378,152619,-7974048,2441904,498378
498467,169090,7975472,2705440,498467
498631,-182355,7978096,-2917680,498631
-498642,-81227,-7978272,-1299632,498642
-498707,-124916,-7979312,-1998656,498707
-498739,-60809,-7979824,-972944,498739
-498768,169332,-7980288,2709312,498768
498827,205229,7981232,3283664,498827
498839,406835,7981424,6509360,498839
498906,54809,7982496,876944,498906
-212154,-499440,-3394464,-7991040,499440
-499630,20955,-7994080,335280,499630
390739,499875,6251824,7998000,499875
368014,499961,5888224,7999376,499961
-370487,500119,-5927792,8001904,500119
-285615,500126,-4569840,8002016,500126
500137,-236430,8002192,-3782880,500137
51420,-500583,822720,-8009328,500583
57809,500683,924944,8010928,500683
-500759,126368,-8012144,2021888,500759
364488,-501023,5831808,-8016368,501023
501027,-305286,8016432,-4884576,501027
501117,24069,8017872,385104,501117
501312,-469312,8020992,-7508992,501312
178544,-501568,2856704,-8025088,501568
455998,-501668,7295968,-8026688,501668
-71169,502145,-1138704,8034320,502145
297639,-502343,4762224,-8037488,502343
450935,502630,7214960,8042080,502630
196772,502686,3148352,8042976,502686
-502700,443629,-8043200,7098064,502700
-265616,502823,-4249856,8045168,502823
-272191,502920,-4355056,8046720,502920
-503648,237778,-8058368,3804448,503648
-503741,-333888,-8059856,-5342208,503741
503872,-444400,8061952,-7110400,503872
-504045,-129492,-8064720,-2071872,504045
-504068,91639,-8065088,1466224,504068
-504260,-401399,-8068160,-6422384,504260
-504429,-444035,-8070864,-7104560,504429
402629,504467,6442064,8071472,504467
-5664,504758,-90624,8076128,504758
-502460,-504858,-8039360,-8077728,504858
-32889,505054,-526224,8080864,505054
-386575,505349,-6185200,8085584,505349
250200,506306,4003200,8100896,506306
506487,392682,8103792,6282912,506487
-259054,506600,-4144864,8105600,506600
-469090,-506620,-7505440,-8105920,506620
203383,506774,3254128,8108384,506774
-506930,161632,-8110880,2586112,506930
507240,131110,8115840,2097760,507240
-507351,170546,-8117616,2728736,507351
439093,-507373,7025488,-8117968,507373
507567,-323409,8121072,-5174544,507567
507571,-460594,8121136,-7369504,507571
169699,-507885,2715184,-8126160,507885
-175505,508041,-2808080,8128656,508041
-508239,-334634,-8131824,-5354144,508239
-64983,-508540,-1039728,-8136640,508540
139252,508828,2228032,8141248,508828
304678,-508935,4874848,-8142960,508935
509040,-143891,8144640,-2302256,509040
274640,-509114,4394240,-8145824,509114
509302,-21267,8148832,-340272,509302
509456,-144004,8151296,-2304064,509456
-170600,-509999,-2729600,-8159984,509999
-56931,510193,-910896,8163088,510193
-510303,482007,-8164848,7712112,510303
-510323,-74231,-8165168,-1187696,510323
511150,395127,8178400,6322032,511150
511287,374987,8180592,5999792,511287
-460239,511701,-7363824,8187216,511701
511972,-381743,8191552,-6107888,511972
-512217,118323,-8195472,1893168,512217
291587,512230,4665392,8195680,512230
512280,128573,8196480,2057168,512280
453908,512301,7262528,8196816,512301
-512618,355603,-8201888,5689648,512618
-512844,235832,-8205504,3773312,512844
512874,-108136,8205984,-1730176,512874
-469986,-512895,-7519776,-8206320,512895
420705,-512957,6731280,-8207312,512957
-512982,-160158,-8207712,-2562528,512982
-513130,286885,-8210080,4590160,513130
247061,-513290,3952976,-8212640,513290
-513323,38492,-8213168,615872,513323
-155548,-513539,-2488768,-8216624,513539
-393242,-513765,-6291872,-8220240,513765
-315775,514077,-5052400,8225232,514077
-514247,84351,-8227952,1349616,514247
307296,-514270,4916736,-8228320,514270
514373,-298133,8229968,-4770128,514373
514508,-450903,8232128,-7214448,514508
-98196,514731,-1571136,8235696,514731
514755,73933,8236080,1182928,514755
-514805,-18549,-8236880,-296784,514805
-242567,-514923,-3881072,-8238768,514923
515016,-74574,8240256,-1193184,515016
-254917,-515516,-4078672,-8248256,515516
46039,-515655,736624,-8250480,515655
515808,-92846,8252928,-1485536,515808
-515984,-232641,-8255744,-3722256,515984
516077,404305,8257232,6468880,516077
213321,-516294,3413136,-8260704,516294
12863,516821,205808,8269136,516821
-516828,-264051,-8269248,-4224816,516828
-374406,516893,-5990496,8270288,516893
-516957,35386,-8271312,566176,516957
517052,-64352,8272832,-1029632,517052
-412030,-517242,-6592480,-8275872,517242
-517286,391142,-8276576,6258272,517286
-517323,-94219,-8277168,-1507504,517323
517417,-118226,8278672,-1891616,517417
-333875,-517558,-5342000,-8280928,517558
-517617,-174369,-8281872,-2789904,517617
-276423,517924,-4422768,8286784,517924
33044,518053,528704,8288848,518053
-100284,-518127,-1604544,-8290032,518127
-518397,-260731,-8294352,-4171696,518397
-518629,-219174,-8298064,-3506784,518629
518657,-403620,8298512,-6457920,518657
-116616,518818,-1865856,8301088,518818
298952,519002,4783232,8304032,519002
-519153,-405479,-8306448,-6487664,519153
93095,519183,1489520,8306928,519183
519281,-33775,8308496,-540400,519281
413405,519321,6614480,8309136,519321
-243093,-519332,-3889488,-8309312,519332
294669,519388,4714704,8310208,519388
-519795,128316,-8316720,2053056,519795
378456,520213,6055296,8323408,520213
520818,260643,8333088,4170288,520818
520916,352584,8334656,5641344,520916
521094,58179,8337504,930864,521094
-431766,-521143,-6908256,-8338288,521143
-53570,-521143,-857120,-8338288,521143
107263,521167,1716208,8338672,521167
-521211,-175637,-8339376,-2810192,521211
93313,521629,1493008,8346064,521629
521665,-368073,8346640,-5889168,521665
521819,-201175,8349104,-3218800,521819
521948,488692,8351168,7819072,521948
-413897,522012,-6622352,8352192,522012
336120,522052,5377920,8352832,522052
28434,-522125,454944,-8354000,522125
-464548,522319,-7432768,8357104,522319
282568,-522862,4521088,-8365792,522862
522886,-128071,8366176,-2049136,522886
352770,522887,5644320,8366192,522887
522921,-481347,8366736,-7701552,522921
-194027,-523085,-3104432,-8369360,523085
523108,-126942,8369728,-2031072,523108
254823,-523167,4077168,-8370672,523167
162092,523373,2593472,8373968,523373
116612,523752,1865792,8380032,523752
523868,-432976,8381888,-6927616,523868
523922,-175667,8382752,-2810672,523922
-427044,-524036,-6832704,-8384576,524036
524318,14465,8389088,231440,524318
-524318,32452,-8389088,519232,524318
168317,-524725,2693072,-8395600,524725
524744,-514457,8395904,-8231312,524744
-525213,299396,-8403408,4790336,525213
-525370,233411,-8405920,3734576,525370
-147465,525491,-2359440,8407856,525491
525500,89673,8408000,1434768,525500
-525531,504163,-8408496,8066608,525531
-525542,-41800,-8408672,-668800,525542
525925,-189448,8414800,-3031168,525925
201169,526013,3218704,8416208,526013
-498932,526080,-7982912,8417280,526080
292365,-526123,4677840,-8417968,526123
312441,-526277,4999056,-8420432,526277
248858,526457,3981728,8423312,526457
526574,151177,8425184,2418832,526574
526613,-404347,8425808,-6469552,526613
526639,326034,8426224,5216544,526639
526917,-438797,8430672,-7020752,526917
297736,-527128,4763776,-8434048,527128
527789,-157180,8444624,-2514880,527789
-527794,81036,-8444704,1296576,527794
-527926,-504583,-8446816,-8073328,527926
-278898,-528107,-4462368,-8449712,528107
-528447,-73399,-8455152,-1174384,528447
455343,528708,7285488,8459328,528708
528839,284967,8461424,4559472,528839
-528987,514566,-8463792,8233056,528987
173207,-529269,2771312,-8468304,529269
-529362,392396,-8469792,6278336,529362
-529396,184987,-8470336,2959792,529396
471266,-529514,7540256,-8472224,529514
-529610,-107753,-8473760,-1724048,529610
529747,22904,8475952,366464,529747
-529980,-361830,-8479680,-5789280,529980
-210127,529996,-3362032,8479936,529996
176356,529999,2821696,8479984,529999
530079,-86558,8481264,-1384928,530079
-361649,530817,-5786384,8493072,530817
434798,-530830,6956768,-8493280,530830
-435165,-531214,-6962640,-8499424,531214
531261,435696,8500176,6971136,531261
-316631,-531400,-5066096,-8502400,531400
341292,531897,5460672,8510352,531897
106902,-531999,1710432,-8511984,531999
144728,-532168,2315648,-8514688,532168
532334,-61292,8517344,-980672,532334
532366,-144407,8517856,-2310512,532366
407463,-532578,6519408,-8521248,532578
-721,532750,-11536,8524000,532750
-532760,489961,-8524160,7839376,532760
176648,-532853,2826368,-8525648,532853
322831,-532863,5165296,-8525808,532863
39,533138,624,8530208,533138
-533215,383887,-8531440,6142192,533215
533313,496049,8533008,7936784,533313
-323177,533521,-5170832,8536336,533521
184432,533529,2950912,8536464,533529
8499,533721,135984,8539536,533721
-533908,-525208,-8542528,-8403328,533908
534249,151206,8547984,2419296,534249
250357,534306,4005712,8548896,534306
534463,-323893,8551408,-5182288,534463
534630,52437,8554080,838992,534630
-534993,-430587,-8559888,-6889392,534993
535109,-432106,8561744,-6913696,535109
-96522,535198,-1544352,8563168,535198
535542,-273734,8568672,-4379744,535542
157507,-535559,2520112,-8568944,535559
-427150,-535592,-6834400,-8569472,535592
-341490,-535779,-5463840,-8572464,535779
-138117,535784,-2209872,8572544,535784
-536037,-65576,-8576592,-1049216,536037
-491643,536132,-7866288,8578112,536132
347958,536166,5567328,8578656,536166
262781,-536247,4204496,-8579952,536247
-533190,-536255,-8531040,-8580080,536255
-533189,-536255,-8531024,-8580080,536255
8307,-536272,132912,-8580352,536272
-536303,-122952,-8580848,-1967232,536303
536355,497520,8581680,7960320,536355
-536526,39667,-8584416,634672,536526
100781,-536936,1612496,-8590976,536936
537050,-333340,8592800,-5333440,537050
392569,-537263,6281104,-8596208,537263
-367296,537417,-5876736,8598672,537417
-305071,537420,-4881136,8598720,537420
-537443,-468336,-8599088,-7493376,537443
-537572,157788,-8601152,2524608,537572
537776,-248102,8604416,-3969632,537776
-497983,537805,-7967728,8604880,537805
520973,-537806,8335568,-8604896,537806
-537997,-417106,-8607952,-6673696,537997
538179,-328570,8610864,-5257120,538179
-538200,115515,-8611200,1848240,538200
-449958,538469,-7199328,8615504,538469
538542,-344865,8616672,-5517840,538542
-538620,-458992,-8617920,-7343872,538620
-538294,-538660,-8612704,-8618560,538660
-538904,-165694,-8622464,-2651104,538904
539214,292598,8627424,4681568,539214
481795,539424,7708720,8630784,539424
539530,-525588,8632480,-8409408,539530
-217682,539533,-3482912,8632528,539533
539698,301408,8635168,4822528,539698
-539704,7123,-8635264,113968,539704
-540231,-234416,-8643696,-3750656,540231
-495106,540513,-7921696,8648208,540513
-540523,-242816,-8648368,-3885056,540523
490943,-540616,7855088,-8649856,540616
-540795,-251135,-8652720,-4018160,540795
-291090,-540909,-4657440,-8654544,540909
540974,278859,8655584,4461744,540974
-541072,479090,-8657152,7665440,541072
541182,-367815,8658912,-5885040,541182
258343,541282,4133488,8660512,541282
541297,400918,8660752,6414688,541297
-219054,541366,-3504864,8661856,541366
-267665,541443,-4282640,8663088,541443
541514,173537,8664224,2776592,541514
-368054,541970,-5888864,8671520,541970
541991,-450324,8671856,-7205184,541991
-541991,240872,-8671856,3853952,541991
-354580,-542141,-5673280,-8674256,542141
359420,-542151,5750720,-8674416,542151
542180,410499,8674880,6567984,542180
350807,-542263,5612912,-8676208,542263
-447961,542444,-7167376,8679104,542444
-542777,-539,-8684432,-8624,542777
538775,-542854,8620400,-8685664,542854
-543040,-365847,-8688640,-5853552,543040
-543401,397047,-8694416,6352752,543401
462746,-543695,7403936,-8699120,543695
-543788,-298787,-8700608,-4780592,543788
-543793,363235,-8700688,5811760,543793
61853,-543923,989648,-8702768,543923
-544381,360897,-8710096,5774352,544381
-124105,544566,-1985680,8713056,544566
-444915,544577,-7118640,8713232,544577
-544674,329223,-8714784,5267568,544674
170629,-544883,2730064,-8718128,544883
-435446,-544917,-6967136,-8718672,544917
-278782,544938,-4460512,8719008,544938
-228346,-545062,-3653536,-8720992,545062
-173964,545631,-2783424,8730096,545631
-28992,545655,-463872,8730480,545655
545711,-509901,8731376,-8158416,545711
539824,-546033,8637184,-8736528,546033
-546113,503799,-8737808,8060784,546113
-69786,546288,-1116576,8740608,546288
-546334,-423599,-8741344,-6777584,546334
-546341,-211042,-8741456,-3376672,546341
546923,-394661,8750768,-6314576,546923
-180321,-547103,-2885136,-8753648,547103
547223,440554,8755568,7048864,547223
547322,-315917,8757152,-5054672,547322
-547357,299873,-8757712,4797968,547357
-323303,547364,-5172848,8757824,547364
-547496,-467665,-8759936,-7482640,547496
547521,41698,8760336,667168,547521
150827,547596,2413232,8761536,547596
547841,131679,8765456,2106864,547841
547875,361061,8766000,5776976,547875
-145346,-548180,-2325536,-8770880,548180
-548373,537298,-8773968,8596768,548373
-525962,548377,-8415392,8774032,548377
-548411,-511771,-8774576,-8188336,548411
-475632,-548426,-7610112,-8774816,548426
361868,548458,5789888,8775328,548458
384832,-548771,6157312,-8780336,548771
262727,-548837,4203632,-8781392,548837
-522290,549023,-8356640,8784368,549023
-193363,549058,-3093808,8784928,549058
549084,275251,8785344,4404016,549084
-549454,52853,-8791264,845648,549454
549484,-377559,8791744,-6040944,549484
-320899,-549641,-5134384,-8794256,549641
-315205,549855,-5043280,8797680,549855
550173,98772,8802768,1580352,550173
137190,-550198,2195040,-8803168,550198
28526,-550199,456416,-8803184,550199
550266,35012,8804256,560192,550266
-550312,-309536,-8804992,-4952576,550312
271533,550313,4344528,8805008,550313
-534308,550320,-8548928,8805120,550320
-151460,550381,-2423360,8806096,550381
57277,-550478,916432,-8807648,550478
-550697,246426,-8811152,3942816,550697
-550898,450430,-8814368,7206880,550898
-389639,-551264,-6234224,-8820224,551264
551309,26315,8820944,421040,551309
551405,150986,8822480,2415776,551405
-330203,-551663,-5283248,-8826608,551663
-551773,547500,-8828368,8760000,551773
551805,-501388,8828880,-8022208,551805
-245494,-551854,-3927904,-8829664,551854
-551899,369045,-8830384,5904720,551899
-351762,551954,-5628192,8831264,551954
-552141,-187059,-8834256,-2992944,552141
-428556,-552324,-6856896,-8837184,552324
-552487,223396,-8839792,3574336,552487
552520,-502629,8840320,-8042064,552520
-552622,173441,-8841952,2775056,552622
-24970,552901,-399520,8846416,552901
552928,270623,8846848,4329968,552928
-415956,552999,-6655296,8847984,552999
-266138,553015,-4258208,8848240,553015
-553020,411069,-8848320,6577104,553020
553183,-73378,8850928,-1174048,553183
-553342,235536,-8853472,3768576,553342
-553342,157061,-8853472,2512976,553342
121955,-553574,1951280,-8857184,553574
553635,-283225,8858160,-4531600,553635
52328,553675,837248,8858800,553675
-134903,-553893,-2158448,-8862288,553893
-349533,553936,-5592528,8862976,553936
554026,-503240,8864416,-8051840,554026
-554094,-371761,-8865504,-5948176,554094
554285,211336,8868560,3381376,554285
-35631,-554853,-570096,-8877648,554853
555044,352296,8880704,5636736,555044
-50810,555110,-812960,8881760,555110
555209,-101284,8883344,-1620544,555209
3309,555331,52944,8885296,555331
